Time (hrs),LED Luminosity,Unit Number,Temperature (K)
9744,0.6366,Unit 26,338.15
336,0.9746,Unit 27,338.15
672,0.9047,Unit 27,338.15
1008,0.9069,Unit 27,338.15
1344,0.8565,Unit 27,338.15
1680,0.8756,Unit 27,338.15
2016,0.8705,Unit 27,338.15
2352,0.8514,Unit 27,338.15
2688,0.8491,Unit 27,338.15
3024,0.8538,Unit 27,338.15
3360,0.8469,Unit 27,338.15
3696,0.8209,Unit 27,338.15
4032,0.8035,Unit 27,338.15
4368,0.7894,Unit 27,338.15
4704,0.8028,Unit 27,338.15
5040,0.8189,Unit 27,338.15
5376,0.795,Unit 27,338.15
5712,0.7934,Unit 27,338.15
6048,0.7607,Unit 27,338.15
6384,0.7805,Unit 27,338.15
6720,0.7953,Unit 27,338.15
7056,0.7665,Unit 27,338.15
